1,brazil,ABF,D,6,20/09/1982,12/11/1986,ronaldo.moreira@hotmail.com
2,netherlands,EFD,A,3,09/09/2008,01/09/2011,memphis.depay@outlook.com
3,greece,TUC,B,6,24/09/2009,02/09/2013,elenh.kals@verizon.com
4,usa,MIT,B,6,05/09/2010,07/09/2013,mary.erfy@gmail.com
5,greece,TUC,A,3,08/09/2010,07/08/2013,anna.ykl@outlook.com
6,usa,MIT,B,1,14/09/2008,05/08/2011,gfhd.bndtj@mail.com
7,australia,AUSUS,D,3,14/09/2007,03/08/2014,eva.waters@gmail.com
8,greece,TUC,B,2,04/09/2007,02/10/2012,maria.qrwge@hotmail.com
9,greece,EPM,C,5,12/09/2006,15/11/2014,sofia.sfsf@mail.com
10,greece,EPM,C,6,05/09/2006,07/11/2014,stelios.rod@aol.com
11,greece,TUC,A,5,02/09/2012,05/06/2015,akarageorgiadis@isc.tuc.gr
12,greece,TUC,A,3,03/09/2011,09/10/2015,giannhs.ada@outlook.com
13,greece,AUTH,B,1,08/09/2012,07/08/2015,makis.karas@yahoo.com
14,england,PRISTON,A,7,04/09/2009,11/11/2012,danny.drinkwater@hotmail.com
15,england,OXFORD,D,5,18/09/2005,14/09/2012,james.vardy@gmail.com
16,australia,AUSUS,C,3,05/03/2007,15/07/2012,angus.young@verizon.com
17,usa,HARVARD,C,1,07/09/2006,04/10/2012,afafada.fhfdjetj@verizon.com
18,greece,EPM,C,2,07/09/2006,07/10/2014,claus.athanasiadis@verizon.com
19,italy,TGB,B,3,25/09/2005,05/09/2008,andrea.pirlo@verizon.com
