1,07/01/2016,rejected,james.vardy@gmail.com,mary.erfy@gmail.com
2,29/05/2015,accepted,akarageorgiadis@isc.tuc.gr,elenh.kals@verizon.com
3,28/10/2015,accepted,elenh.kals@verizon.com,danny.drinkwater@hotmail.com
4,19/06/2015,rejected,mary.erfy@gmail.com,anna.ykl@outlook.com
5,21/03/2015,accepted,danny.drinkwater@hotmail.com,ronaldo.moreira@hotmail.com
6,23/11/2015,accepted,ronaldo.moreira@hotmail.com,andrea.pirlo@verizon.com
7,25/02/2016,pending,akarageorgiadis@isc.tuc.gr,angus.young@verizon.com
8,26/07/2016,pending,elenh.kals@verizon.com,maria.qrwge@hotmail.com
9,26/10/2015,rejected,maria.qrwge@hotmail.com,afafada.fhfdjetj@verizon.com
10,29/03/2015,accepted,maria.qrwge@hotmail.com,makis.karas@yahoo.com
