1,12/04/2016,vhdE8pGWdRNug1R,I9nIxSrEpgR4G8rs0GwyjedIKL67AVHhKQSt7CWq644BgWPD6EeE8Irofe8mWvDUZvt0q9vyvF3qkcnz73A71CkBjp,angus.young@verizon.com,maria.qrwge@hotmail.com
2,26/03/2016,ptBvt7Xmjpf2Jj2,NdFuUK1knvoZX8UrU2QBDD1JpeuHdWLrRBvSsAws0Az3LifDmKtswhmKm6F0btGRk7HWMB9TGjMCO99H9qfTne6uak,giannhs.ada@outlook.com,angus.young@verizon.com
3,27/07/2016,Hv6N8WetMaTtEHQ,rx56RG4iSOaJ1lLZlMVj6n882vNyoFBY6mVMZLRFJqquszz5IN3tY2oDz8Dh3G5NNCNOP Aa5QaQ8OQC6TqaNS E8S,james.vardy@gmail.com,maria.qrwge@hotmail.com
4,29/10/2016,yrzn56zWFyX55Zc,XcHvMCwdgpmkqINdyIcYFlrBlkbeA6CJQ7mjTJEXffslbVohNue2nkMxvFKmmRdlncTthoKoEE4l3FlP74RQbLgrvz,makis.karas@yahoo.com,akarageorgiadis@isc.tuc.gr
5,29/02/2016,y7ylJcyS35LA0Ua,yN cwOBG99B5Ajk0yirm4qf5qs MKc6n9s07pmTqjxHmOB4sqlX9AI5IsFxDO06gCZ7StnLLPBCHj3roySgkE8n0xs,ronaldo.moreira@hotmail.com,giannhs.ada@outlook.com
6,21/03/2016,OSeS1yDgp7SY1Zl,Oj0Pbu1lj0Fm9CZMu9GykzZIQ7TWcEwHgBZmV kSQ8U1jMTdK3Oot9HZKs faeJfD9F7ox2uZyimfikDo0Mj1IYh5 ,mary.erfy@gmail.com,angus.young@verizon.com
7,04/02/2016,bkTunW6e9yAY6st,cnAE3wz0ylGW0YAfO6bg4nI62kSko5ljCoVOuU6xyqu98RAziV5cGZFzfENSdOL4AiTLCxv4ApsN4J9kjeBSAIdojg,maria.qrwge@hotmail.com,sofia.sfsf@mail.com
8,13/02/2016,5 CqkFamiouaJp1,tpHnTjf19a90wwlAcbr26WGnt N332EpnhEGxXVJtCKjmutQsArB8rkXje5UWn8HVUNPreNFFiJ3LiB Q7K3LDr67r,memphis.depay@outlook.com,maria.qrwge@hotmail.com
9,12/11/2016,E84SemrGrDTzgf1,hTcBxFFDOSgejOxm6ahrMBc6DadF6RnRSA75nEvEyHUudxX7FkHRZPeg1h9XnAI7pPLjR3 2qd4FrsdQCg WKV2Dga,andrea.pirlo@verizon.com,elenh.kals@verizon.com
10,03/03/2016,aHz6BTWK0gB8vG3,DFFXby YEOmzqMlQm7WZ0IEsVGAwwUXIC104wSBFFToOpN1xw5u6rGl5BXCUxNmv1ewzXreU5QUgf0DHPNA2kbb6P6,elenh.kals@verizon.com,anna.ykl@outlook.com
